loan_id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,default
1,35000.0,35000.0,36,8.18,1099.69,B,B1,10.0,MORTGAGE,252000.0,Verified,2015-08-01,credit_card,NY,10.29,685.0,689.0,19.0,0.0,95132.15,89.0,70.0,20.0,0
2,8600.0,8600.0,36,10.75,280.54,B,B4,8.0,RENT,60000.0,Source Verified,2016-02-01,debt_consolidation,NY,13.88,670.0,674.0,10.0,0.0,9468.0,77.6,25.0,0.0,0
3,8000.0,8000.0,36,7.12,247.46,A,A3,10.0,MORTGAGE,87000.0,Not Verified,2014-10-01,credit_card,CA,14.36,665.0,669.0,11.0,0.0,11293.0,44.5,25.0,4.0,0
4,35000.0,35000.0,36,12.99,1179.12,C,C2,3.0,MORTGAGE,158000.0,Verified,2014-11-01,credit_card,CA,20.11,700.0,704.0,9.0,0.0,95132.15,85.9,23.0,5.0,0
5,16000.0,16000.0,36,7.9,500.65,A,A4,6.0,RENT,70000.0,Not Verified,2014-04-01,credit_card,PA,21.72,660.0,664.0,16.0,0.0,21334.0,37.2,25.0,0.0,0
6,24000.0,24000.0,36,6.03,730.46,A,A1,2.0,MORTGAGE,252000.0,Not Verified,2014-05-01,home_improvement,CT,11.56,750.0,754.0,10.0,0.0,77199.0,67.7,20.0,3.0,0
7,11500.0,11500.0,36,10.99,376.45,B,B4,5.0,RENT,45000.0,Not Verified,2015-10-01,debt_consolidation,CA,20.43,705.0,709.0,12.0,0.0,9653.0,83.2,14.0,0.0,0
8,5850.0,5850.0,36,7.35,181.57,A,A4,10.0,MORTGAGE,64000.0,Not Verified,2017-10-01,debt_consolidation,NV,10.68,780.0,784.0,31.0,0.0,12311.0,10.1,45.0,5.0,0
9,6000.0,6000.0,36,12.12,199.63,B,B3,10.0,RENT,50000.0,Source Verified,2013-02-01,credit_card,NY,15.96,730.0,734.0,13.0,0.0,6930.0,15.8,32.0,0.0,0
10,5500.0,5500.0,36,10.42,178.56,B,B3,6.0,RENT,42750.0,Not Verified,2017-08-01,credit_card,VA,18.33,670.0,674.0,5.0,0.0,6503.0,73.9,18.0,3.0,0
